===============================================================================
Id,TSLA,len,datetime,open,high,low,close,volume,openinterest,adjclose,MAcrossover,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
279,TSLA,279,2017-07-21 23:59:59.999989,65.89,66.25,65.16,65.68,24508000.0,0.0,65.68,MAcrossover,279,736531.9999999999,Broker,279,10005.94,10005.94,BuySell,279,,,Trades - Net Profit/Loss,279,,
280,TSLA,280,2017-07-24 23:59:59.999989,66.05,68.68,66.0,68.5,43185500.0,0.0,68.503998,MAcrossover,280,736534.9999999999,Broker,280,10204.09,9998.59,BuySell,280,,69.7102,Trades - Net Profit/Loss,280,,
281,TSLA,281,2017-07-25 23:59:59.999989,69.0,69.12,66.83,67.92,34946000.0,0.0,67.919998,MAcrossover,281,736535.9999999999,Broker,281,10204.09,10000.33,BuySell,281,,,Trades - Net Profit/Loss,281,,
282,TSLA,282,2017-07-26 23:59:59.999989,68.07,69.1,67.62,68.77,24104000.0,0.0,68.769997,MAcrossover,282,736536.9999999999,Broker,282,10204.09,9997.78,BuySell,282,,,Trades - Net Profit/Loss,282,,
283,TSLA,283,2017-07-27 23:59:59.999989,69.2,69.5,65.26,66.89,41512000.0,0.0,66.891998,MAcrossover,283,736537.9999999999,Broker,283,10204.09,10003.42,BuySell,283,,,Trades - Net Profit/Loss,283,,
284,TSLA,284,2017-07-28 23:59:59.999989,67.38,67.92,66.5,67.01,24402000.0,0.0,67.014,MAcrossover,284,736538.9999999999,Broker,284,10204.09,10003.06,BuySell,284,,,Trades - Net Profit/Loss,284,,
285,TSLA,285,2017-07-31 23:59:59.999989,67.1,68.3,64.21,64.69,42675500.0,0.0,64.694,MAcrossover,285,736541.9999999999,Broker,285,10204.09,10010.02,BuySell,285,,,Trades - Net Profit/Loss,285,,
286,TSLA,286,2017-08-01 23:59:59.999989,64.6,64.89,63.23,63.91,41515500.0,0.0,63.914001,MAcrossover,286,736542.9999999999,Broker,286,10010.29,10010.29,BuySell,286,62.281549999999996,,Trades - Net Profit/Loss,286,4.3500000000000085,
287,TSLA,287,2017-08-02 23:59:59.999989,63.79,65.42,62.24,65.18,65457500.0,0.0,65.178001,MAcrossover,287,736543.9999999999,Broker,287,10010.29,10010.29,BuySell,287,,,Trades - Net Profit/Loss,287,,
288,TSLA,288,2017-08-03 23:59:59.999989,69.07,70.0,68.63,69.42,67675000.0,0.0,69.417999,MAcrossover,288,736544.9999999999,Broker,288,10010.29,10010.29,BuySell,288,,,Trades - Net Profit/Loss,288,,
289,TSLA,289,2017-08-04 23:59:59.999989,69.4,71.45,68.66,71.38,46344500.0,0.0,71.382004,MAcrossover,289,736545.9999999999,Broker,289,10010.29,10010.29,BuySell,289,,,Trades - Net Profit/Loss,289,,
290,TSLA,290,2017-08-07 23:59:59.999989,71.47,71.9,70.55,71.03,31622500.0,0.0,71.033997,MAcrossover,290,736548.9999999999,Broker,290,10010.29,10010.29,BuySell,290,,,Trades - Net Profit/Loss,290,,
291,TSLA,291,2017-08-08 23:59:59.999989,71.51,73.72,71.48,73.04,37249000.0,0.0,73.043999,MAcrossover,291,736549.9999999999,Broker,291,10010.29,10010.29,BuySell,291,,,Trades - Net Profit/Loss,291,,
292,TSLA,292,2017-08-09 23:59:59.999989,72.2,74.0,71.79,72.71,34460500.0,0.0,72.706001,MAcrossover,292,736550.9999999999,Broker,292,10010.29,10010.29,BuySell,292,,,Trades - Net Profit/Loss,292,,
293,TSLA,293,2017-08-10 23:59:59.999989,72.32,73.33,70.93,71.08,35464500.0,0.0,71.080002,MAcrossover,293,736551.9999999999,Broker,293,10010.29,10010.29,BuySell,293,,,Trades - Net Profit/Loss,293,,
294,TSLA,294,2017-08-11 23:59:59.999989,71.39,72.25,70.72,71.57,21829000.0,0.0,71.573997,MAcrossover,294,736552.9999999999,Broker,294,10010.29,10010.29,BuySell,294,,,Trades - Net Profit/Loss,294,,
295,TSLA,295,2017-08-14 23:59:59.999989,72.93,73.53,72.52,72.76,22596000.0,0.0,72.760002,MAcrossover,295,736555.9999999999,Broker,295,10010.29,10010.29,BuySell,295,,,Trades - Net Profit/Loss,295,,
296,TSLA,296,2017-08-15 23:59:59.999989,73.04,73.1,71.87,72.47,15425500.0,0.0,72.466003,MAcrossover,296,736556.9999999999,Broker,296,10010.29,10010.29,BuySell,296,,,Trades - Net Profit/Loss,296,,
297,TSLA,297,2017-08-16 23:59:59.999989,72.6,73.3,72.5,72.58,17069000.0,0.0,72.582001,MAcrossover,297,736557.9999999999,Broker,297,10010.29,10010.29,BuySell,297,,,Trades - Net Profit/Loss,297,,
298,TSLA,298,2017-08-17 23:59:59.999989,72.24,72.66,70.32,70.38,25138500.0,0.0,70.384003,MAcrossover,298,736558.9999999999,Broker,298,10010.29,10010.29,BuySell,298,,,Trades - Net Profit/Loss,298,,
299,TSLA,299,2017-08-18 23:59:59.999989,70.58,70.8,69.16,69.49,27041000.0,0.0,69.491997,MAcrossover,299,736559.9999999999,Broker,299,10010.29,10010.29,BuySell,299,,,Trades - Net Profit/Loss,299,,
300,TSLA,300,2017-08-21 23:59:59.999989,69.16,69.16,66.37,67.57,32477000.0,0.0,67.571999,MAcrossover,300,736562.9999999999,Broker,300,10010.29,10010.29,BuySell,300,,,Trades - Net Profit/Loss,300,,
301,TSLA,301,2017-08-22 23:59:59.999989,68.23,68.45,67.47,68.27,21610000.0,0.0,68.269997,MAcrossover,301,736563.9999999999,Broker,301,10010.29,10010.29,BuySell,301,,,Trades - Net Profit/Loss,301,,
302,TSLA,302,2017-08-23 23:59:59.999989,67.8,70.7,67.66,70.55,24772500.0,0.0,70.554001,MAcrossover,302,736564.9999999999,Broker,302,10010.29,10010.29,BuySell,302,,,Trades - Net Profit/Loss,302,,
303,TSLA,303,2017-08-24 23:59:59.999989,70.5,71.33,69.95,70.59,22923500.0,0.0,70.585999,MAcrossover,303,736565.9999999999,Broker,303,9798.79,10010.560000000001,BuySell,303,68.90075,,Trades - Net Profit/Loss,303,,
304,TSLA,304,2017-08-25 23:59:59.999989,70.85,71.14,69.46,69.61,17420000.0,0.0,69.610001,MAcrossover,304,736566.9999999999,Broker,304,9798.79,10007.62,BuySell,304,,,Trades - Net Profit/Loss,304,,
305,TSLA,305,2017-08-28 23:59:59.999989,69.46,69.47,67.94,69.13,18820000.0,0.0,69.132004,MAcrossover,305,736569.9999999999,Broker,305,9798.79,10006.18,BuySell,305,,,Trades - Net Profit/Loss,305,,
306,TSLA,306,2017-08-29 23:59:59.999989,67.9,69.81,67.75,69.47,20368500.0,0.0,69.472,MAcrossover,306,736570.9999999999,Broker,306,9798.79,10007.2,BuySell,306,,,Trades - Net Profit/Loss,306,,
307,TSLA,307,2017-08-30 23:59:59.999989,69.93,70.69,69.4,70.64,17064500.0,0.0,70.636002,MAcrossover,307,736571.9999999999,Broker,307,9798.79,10010.710000000001,BuySell,307,,,Trades - Net Profit/Loss,307,,
308,TSLA,308,2017-08-31 23:59:59.999989,70.71,71.69,70.56,71.18,20364000.0,0.0,71.18,MAcrossover,308,736572.9999999999,Broker,308,9798.79,10012.330000000002,BuySell,308,,,Trades - Net Profit/Loss,308,,
309,TSLA,309,2017-09-01 23:59:59.999989,71.22,71.52,70.74,71.08,15247500.0,0.0,71.080002,MAcrossover,309,736573.9999999999,Broker,309,10012.45,10012.45,BuySell,309,,72.59279999999998,Trades - Net Profit/Loss,309,2.1599999999999966,
310,TSLA,310,2017-09-05 23:59:59.999989,70.76,71.1,69.18,69.92,19175500.0,0.0,69.917999,MAcrossover,310,736577.9999999999,Broker,310,10012.45,10012.45,BuySell,310,,,Trades - Net Profit/Loss,310,,
