===============================================================================
Id,TSLA_data,len,datetime,open,high,low,close,volume,openinterest,GoldCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
6129,TSLA_data,6129,2021-06-01 12:14:00,624.575,624.9863,624.31,624.89,115474.0,115474.0,GoldCross,6129,737942.5097222222,Broker,6129,10000.0,10000.0,BuySell,6129,,,Trades - Net Profit/Loss,6129,,
6130,TSLA_data,6130,2021-06-01 12:13:00,624.4,624.9,624.37,624.72,15544.0,15544.0,GoldCross,6130,737942.5090277778,Broker,6130,10000.0,10000.0,BuySell,6130,,,Trades - Net Profit/Loss,6130,,
6131,TSLA_data,6131,2021-06-01 12:12:00,624.6501,624.72,624.3,624.42,21116.0,21116.0,GoldCross,6131,737942.5083333333,Broker,6131,10000.0,10000.0,BuySell,6131,,,Trades - Net Profit/Loss,6131,,
6132,TSLA_data,6132,2021-06-01 12:11:00,625.0985,625.13,624.5159,624.74,22232.0,22232.0,GoldCross,6132,737942.5076388889,Broker,6132,10000.0,10000.0,BuySell,6132,,,Trades - Net Profit/Loss,6132,,
6133,TSLA_data,6133,2021-06-01 12:10:00,624.8199,625.1899,624.69,625.15,25285.0,25285.0,GoldCross,6133,737942.5069444445,Broker,6133,10000.0,10000.0,BuySell,6133,,,Trades - Net Profit/Loss,6133,,
6134,TSLA_data,6134,2021-06-01 12:09:00,625.32,625.32,624.3025,624.69,53097.0,53097.0,GoldCross,6134,737942.50625,Broker,6134,10000.0,10000.0,BuySell,6134,,,Trades - Net Profit/Loss,6134,,
6135,TSLA_data,6135,2021-06-01 12:08:00,625.3697,625.5,625.06,625.2906,18344.0,18344.0,GoldCross,6135,737942.5055555556,Broker,6135,10000.0,10000.0,BuySell,6135,,,Trades - Net Profit/Loss,6135,,
6136,TSLA_data,6136,2021-06-01 12:07:00,625.17,625.36,624.99,625.36,22570.0,22570.0,GoldCross,6136,737942.504861111,Broker,6136,10000.0,10000.0,BuySell,6136,,,Trades - Net Profit/Loss,6136,,
6137,TSLA_data,6137,2021-06-01 12:06:00,625.2,625.25,624.9,625.2299,29277.0,29277.0,GoldCross,6137,737942.5041666667,Broker,6137,10000.0,10000.0,BuySell,6137,,,Trades - Net Profit/Loss,6137,,
6138,TSLA_data,6138,2021-06-01 12:05:00,625.2801,625.48,625.16,625.3761,15479.0,15479.0,GoldCross,6138,737942.5034722222,Broker,6138,10000.0,10000.0,BuySell,6138,,,Trades - Net Profit/Loss,6138,,
6139,TSLA_data,6139,2021-06-01 12:04:00,625.2,625.51,624.8785,625.2901,36587.0,36587.0,GoldCross,6139,737942.5027777777,Broker,6139,10000.0,10000.0,BuySell,6139,,,Trades - Net Profit/Loss,6139,,
6140,TSLA_data,6140,2021-06-01 12:03:00,624.58,625.1795,624.58,624.965,23452.0,23452.0,GoldCross,6140,737942.5020833333,Broker,6140,10000.0,10000.0,BuySell,6140,,,Trades - Net Profit/Loss,6140,,
6141,TSLA_data,6141,2021-06-01 12:02:00,624.9448,625.25,624.69,624.69,24181.0,24181.0,GoldCross,6141,737942.5013888889,Broker,6141,10000.0,10000.0,BuySell,6141,,,Trades - Net Profit/Loss,6141,,
6142,TSLA_data,6142,2021-06-01 12:01:00,625.6,625.7306,624.1,624.9683,48120.0,48120.0,GoldCross,6142,737942.5006944444,Broker,6142,10000.0,10000.0,BuySell,6142,,,Trades - Net Profit/Loss,6142,,
6143,TSLA_data,6143,2021-06-01 12:00:00,625.53,625.5699,625.25,625.46,15919.0,15919.0,GoldCross,6143,737942.5,Broker,6143,10000.0,10000.0,BuySell,6143,,,Trades - Net Profit/Loss,6143,,
6144,TSLA_data,6144,2021-06-01 11:59:00,625.86,625.95,625.4,625.5,18041.0,18041.0,GoldCross,6144,737942.4993055556,Broker,6144,10000.0,10000.0,BuySell,6144,,,Trades - Net Profit/Loss,6144,,
6145,TSLA_data,6145,2021-06-01 11:58:00,625.68,626.14,625.4972,625.8407,34389.0,34389.0,GoldCross,6145,737942.4986111111,Broker,6145,10000.0,10000.0,BuySell,6145,,,Trades - Net Profit/Loss,6145,,
6146,TSLA_data,6146,2021-06-01 11:57:00,625.6,625.78,625.31,625.73,16227.0,16227.0,GoldCross,6146,737942.4979166667,Broker,6146,10000.0,10000.0,BuySell,6146,,,Trades - Net Profit/Loss,6146,,
6147,TSLA_data,6147,2021-06-01 11:56:00,625.65,625.9508,625.25,625.58,33899.0,33899.0,GoldCross,6147,737942.4972222223,Broker,6147,10000.0,10000.0,BuySell,6147,,,Trades - Net Profit/Loss,6147,,
6148,TSLA_data,6148,2021-06-01 11:55:00,625.73,625.925,625.48,625.72,17648.0,17648.0,GoldCross,6148,737942.4965277778,Broker,6148,10000.0,10000.0,BuySell,6148,,,Trades - Net Profit/Loss,6148,,
6149,TSLA_data,6149,2021-06-01 11:54:00,625.88,625.9222,625.5,625.8468,97460.0,97460.0,GoldCross,6149,737942.4958333333,Broker,6149,10000.0,10000.0,BuySell,6149,,,Trades - Net Profit/Loss,6149,,
6150,TSLA_data,6150,2021-06-01 11:53:00,625.67,626.055,625.67,625.9167,41234.0,41234.0,GoldCross,6150,737942.495138889,Broker,6150,10000.0,10000.0,BuySell,6150,,,Trades - Net Profit/Loss,6150,,
6151,TSLA_data,6151,2021-06-01 11:52:00,624.9321,625.85,624.82,625.5661,41436.0,41436.0,GoldCross,6151,737942.4944444444,Broker,6151,10000.0,10000.0,BuySell,6151,,,Trades - Net Profit/Loss,6151,,
6152,TSLA_data,6152,2021-06-01 11:51:00,625.05,625.095,624.68,624.83,21727.0,21727.0,GoldCross,6152,737942.49375,Broker,6152,10000.0,10000.0,BuySell,6152,,,Trades - Net Profit/Loss,6152,,
